,Long Term Status,Current Status,No of Species by SoIB
0,Data Deficient,Data Deficient,31
1,Data Deficient,Moderate Decline,4
2,Data Deficient,Strong Decline,67
3,Data Deficient,Uncertain,929
4,Moderate Decline,Moderate Decline,6252
5,Moderate Decline,Strong Decline,18973
6,Moderate Decline,Strong Increase,5424
7,Moderate Decline,Uncertain,25406
8,Moderate Increase,Stable,19663
9,Moderate Increase,Strong Decline,4117
10,Moderate Increase,Strong Increase,27392
11,Moderate Increase,Uncertain,5249
12,Stable,Moderate Decline,92079
13,Stable,Moderate Increase,24151
14,Stable,Stable,124452
15,Stable,Strong Decline,80673
16,Stable,Strong Increase,42231
17,Stable,Uncertain,252370
18,Strong Decline,Moderate Decline,455
19,Strong Decline,Strong Decline,4837
20,Strong Decline,Strong Increase,74
21,Strong Decline,Uncertain,2211
22,Strong Increase,Moderate Increase,4748
23,Strong Increase,Strong Increase,38513
24,Strong Increase,Uncertain,33432
25,Uncertain,Moderate Decline,20747
26,Uncertain,Moderate Increase,1090
27,Uncertain,Strong Decline,1228
28,Uncertain,Strong Increase,2652
29,Uncertain,Uncertain,144787
